country_type,Country,League,Season,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,PH,PD,PA,MaxH,MaxD,MaxA,AvgH,AvgD,AvgA
Extra,China,Super League,2014,07/03/2014,11:00,Shandong Luneng,Zhejiang Yiteng,1,0,H,999,999,999,1.3,6.5,13,1.21,5.72,9.77
Extra,China,Super League,2014,08/03/2014,08:30,Guangzhou Evergrande,Henan Jianye,3,0,H,1.19,7.4,17.5,1.19,8.8,23,1.14,6.64,15.35
Extra,China,Super League,2014,08/03/2014,11:30,Beijing Guoan,Changchun Yatai,1,0,H,1.39,4.7,9.7,1.45,4.8,9.7,1.39,4.27,7.18
Extra,China,Super League,2014,08/03/2014,11:35,Hangzhou Greentown,Dalian Yifang F.C.,1,1,D,2.89,3.25,2.63,3,3.25,2.78,2.7,3.1,2.48
Extra,China,Super League,2014,08/03/2014,11:35,Jiangsu Suning,Beijing Renhe,0,0,D,1.95,3.38,4.38,2.38,3.5,4.38,2.01,3.23,3.48
Extra,China,Super League,2014,09/03/2014,06:00,Liaoning,Shanghai SIPG,1,1,D,2.28,3.2,3.58,2.5,3.3,3.8,2.15,3.14,3.19
Extra,China,Super League,2014,09/03/2014,08:00,Shanghai Shenxin,Shanghai Shenhua,0,2,A,999,999,999,2.75,3.25,3.2,2.48,3,2.74
Extra,China,Super League,2014,09/03/2014,11:35,Tianjin Teda,Guangzhou R&F,1,1,D,2.87,3.22,2.65,2.87,3.4,3.09,2.57,3.09,2.63
Extra,China,Super League,2014,15/03/2014,07:30,Dalian Yifang F.C.,Beijing Guoan,0,1,A,2.94,3.19,2.62,3.11,3.3,2.62,2.8,3.08,2.42
Extra,China,Super League,2014,15/03/2014,11:45,Shanghai Shenhua,Hangzhou Greentown,1,3,A,1.6,3.85,6.73,1.75,3.85,6.73,1.62,3.47,5.05
Extra,China,Super League,2014,15/03/2014,12:00,Beijing Renhe,Tianjin Teda,2,0,H,2.73,2.97,3.01,2.9,3.2,3.01,2.66,2.91,2.68
Extra,China,Super League,2014,15/03/2014,12:00,Guangzhou Evergrande,Zhejiang Yiteng,4,1,H,1.13,9.4,25.2,1.16,9.4,25.2,1.11,8.14,14.52
Extra,China,Super League,2014,16/03/2014,07:30,Changchun Yatai,Henan Jianye,0,0,D,2.27,3.18,3.64,2.27,3.4,4,2.11,3.05,3.42
Extra,China,Super League,2014,16/03/2014,08:00,Guangzhou R&F,Liaoning,0,0,D,1.35,5.16,10.69,1.65,5.5,13,1.32,4.78,8.2
Extra,China,Super League,2014,16/03/2014,08:00,Shanghai SIPG,Shanghai Shenxin,5,1,H,1.9,3.33,4.93,1.92,3.5,5.25,1.78,3.27,4.36
Extra,China,Super League,2014,22/03/2014,08:00,Shanghai Shenxin,Guangzhou R&F,1,3,A,5.68,3.76,1.68,6.2,3.9,1.9,4.61,3.61,1.68
Extra,China,Super League,2014,22/03/2014,11:30,Henan Jianye,Dalian Yifang F.C.,2,2,D,3.04,3.03,2.68,3.04,3.1,2.75,2.78,2.98,2.5
Extra,China,Super League,2014,22/03/2014,11:35,Hangzhou Greentown,Shanghai SIPG,1,2,A,3.55,3.22,2.26,3.55,3.23,2.55,3.06,3.08,2.27
Extra,China,Super League,2014,22/03/2014,11:35,Jiangsu Suning,Zhejiang Yiteng,2,1,H,1.43,4.37,9.3,1.45,4.37,11,1.41,3.99,7.75
Extra,China,Super League,2014,23/03/2014,06:00,Liaoning,Beijing Renhe,1,2,A,3.94,3.42,2.05,4.2,3.46,2.45,3.48,3.14,2.06
Extra,China,Super League,2014,23/03/2014,11:35,Tianjin Teda,Shandong Luneng,1,1,D,6.4,3.61,1.66,6.4,3.8,1.75,5.31,3.58,1.6
Extra,China,Super League,2014,23/03/2014,12:00,Guangzhou Evergrande,Changchun Yatai,1,3,A,1.12,9.84,27,1.17,9.84,29,1.11,7.25,18.43
Extra,China,Super League,2014,24/03/2014,11:30,Beijing Guoan,Shanghai Shenhua,2,0,H,1.4,4.78,9,1.43,4.87,10,1.36,4.47,7.26
Extra,China,Super League,2014,28/03/2014,11:30,Shandong Luneng,Liaoning,1,0,H,1.29,5.68,12.02,1.3,6.3,13,1.25,5.29,9.73
Extra,China,Super League,2014,28/03/2014,11:35,Jiangsu Suning,Guangzhou Evergrande,0,2,A,7.29,4.95,1.44,8,4.95,1.51,6.4,4.41,1.41
Extra,China,Super League,2014,28/03/2014,11:45,Shanghai SIPG,Beijing Guoan,1,0,H,3.97,3.6,1.98,4.55,3.6,2.01,3.67,3.38,1.89
Extra,China,Super League,2014,28/03/2014,12:00,Beijing Renhe,Shanghai Shenxin,0,1,A,1.42,4.78,8.14,1.43,4.78,9.5,1.38,4.32,7.26
Extra,China,Super League,2014,29/03/2014,07:30,Dalian Yifang F.C.,Changchun Yatai,2,1,H,2.34,3.16,3.44,2.37,3.4,3.8,2.19,3.11,3.17
Extra,China,Super League,2014,29/03/2014,11:45,Shanghai Shenhua,Henan Jianye,0,0,D,1.85,3.54,4.73,1.85,3.65,5.3,1.74,3.38,4.45
Extra,China,Super League,2014,30/03/2014,09:00,Guangzhou R&F,Hangzhou Greentown,6,2,H,1.52,4.3,6.9,1.53,4.5,8.7,1.45,4.15,6.31
Extra,China,Super League,2014,30/03/2014,12:35,Tianjin Teda,Zhejiang Yiteng,3,0,H,1.68,3.9,5.42,1.68,4.25,6.8,1.56,3.74,5.51
Extra,China,Super League,2014,05/04/2014,07:30,Liaoning,Zhejiang Yiteng,3,0,H,1.79,3.59,5.06,1.89,3.59,5.25,1.77,3.37,4.3
Extra,China,Super League,2014,05/04/2014,12:30,Henan Jianye,Shanghai SIPG,1,0,H,3.31,3.16,2.4,3.4,3.25,2.6,2.95,3.03,2.35
Extra,China,Super League,2014,05/04/2014,12:35,Jiangsu Suning,Tianjin Teda,4,0,H,2.06,3.23,4.11,2.12,3.4,4.2,1.99,3.19,3.6
Extra,China,Super League,2014,06/04/2014,08:30,Changchun Yatai,Shanghai Shenhua,2,2,D,2.07,3.34,3.98,2.14,3.4,4.15,2,3.23,3.44
Extra,China,Super League,2014,06/04/2014,10:30,Shanghai Shenxin,Shandong Luneng,0,1,A,6.13,3.99,1.61,8.12,4.39,1.61,6.01,3.9,1.5
Extra,China,Super League,2014,06/04/2014,12:35,Hangzhou Greentown,Beijing Renhe,2,1,H,3.13,3.33,2.41,3.3,3.4,2.44,2.99,3.2,2.24
