country_type,Country,League,Season,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HY,AY,HR,AR,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,PSH,PSD,PSA,WHH,WHD,WHA,VCH,VCD,VCA,MaxH,MaxD,MaxA,AvgH,AvgD,AvgA,B365>2.5,B365<2.5,P>2.5,P<2.5,Max>2.5,Max<2.5,Avg>2.5,Avg<2.5,AHh,B365AHH,B365AHA,PAHH,PAHA,MaxAHH,MaxAHA,AvgAHH,AvgAHA,B365CH,B365CD,B365CA,BWCH,BWCD,BWCA,IWCH,IWCD,IWCA,PSCH,PSCD,PSCA,WHCH,WHCD,WHCA,VCCH,VCCD,VCCA,MaxCH,MaxCD,MaxCA,AvgCH,AvgCD,AvgCA,B365C>2.5,B365C<2.5,PC>2.5,PC<2.5,MaxC>2.5,MaxC<2.5,AvgC>2.5,AvgC<2.5,AHCh,B365CAHH,B365CAHA,PCAHH,PCAHA,MaxCAHH,MaxCAHA,AvgCAHH,AvgCAHA
Main,England,Conference,2019/2020,03/08/2019,12:30,Stockport,Maidenhead,0,1,A,0,0,D,M Mather,0,3,0,0,1.9,3.4,4,1.91,3.3,3.8,1.9,3.25,3.7,2,3.42,4.03,2,3.4,3.7,2,3.4,3.7,2.1,3.5,4.03,1.96,3.34,3.71,2.05,1.75,2.1,1.73,2.13,1.83,2.04,1.75,-0.5,1.98,1.83,1.99,1.86,2.05,1.88,1.98,1.83,1.9,3.4,4,1.91,3.3,3.8,1.85,3.3,3.85,1.92,3.67,4.08,1.91,3.5,3.9,1.91,3.5,4,2.05,3.67,4.08,1.91,3.4,3.8,2.05,1.75,2.05,1.81,2.08,1.83,2.02,1.77,-0.5,1.9,1.9,1.92,1.97,1.98,1.97,1.91,1.91
Main,England,Conference,2019/2020,03/08/2019,15:00,Aldershot,Fylde,1,2,A,0,1,A,S Allison,0,2,0,0,3.4,3.5,2.05,3.4,3.4,2,3.7,3.15,1.95,3.84,3.38,2.06,3.8,3.3,2,3.9,3.25,2,4,3.5,2.06,3.6,3.28,2.01,2.25,1.61,2.29,1.61,2.35,1.67,2.25,1.61,0.5,1.8,2,1.79,2.04,1.85,2.05,1.8,2.01,4,3.6,1.85,4,3.4,1.83,4,3.25,1.85,4.26,3.79,1.85,4,3.6,1.85,4.2,3.4,1.9,4.26,3.8,1.94,3.93,3.49,1.86,2.07,1.72,2.02,1.84,2.18,1.84,2.08,1.72,0.5,1.9,1.9,2.04,1.85,2.04,1.95,1.94,1.88
Main,England,Conference,2019/2020,03/08/2019,15:00,Barnet,Yeovil,1,0,H,0,0,D,A Dale,0,2,0,0,2.25,3.3,3.1,2.2,3.2,3.1,2.25,3.05,3.1,2.4,3.06,3.37,2.3,3.1,3.2,2.38,3.13,3.13,2.4,3.3,3.37,2.28,3.11,3.13,2.3,1.6,2.29,1.61,2.4,1.66,2.27,1.6,-0.25,1.98,1.83,2,1.83,2.03,1.9,1.97,1.84,2.2,3.3,3.25,2.2,3.2,3.1,2.2,3,3.15,2.32,3.16,3.41,2.25,3.2,3.3,2.25,3.2,3.3,2.32,3.3,3.89,2.24,3.14,3.19,2.25,1.61,2.29,1.65,2.34,1.67,2.27,1.61,-0.25,1.93,1.88,1.98,1.9,1.98,1.95,1.94,1.88
Main,England,Conference,2019/2020,03/08/2019,15:00,Chesterfield,Dover Athletic,1,2,A,0,0,D,A Kitchen,0,1,0,0,1.9,3.4,4,1.91,3.25,3.8,1.95,3.2,3.65,2.1,3.42,3.68,2.05,3.3,3.6,2,3.4,3.8,2.14,3.42,4,1.99,3.31,3.63,2.1,1.7,2.14,1.7,2.19,1.75,2.11,1.69,-0.5,1.98,1.83,2.07,1.76,2.07,1.86,1.99,1.82,1.85,3.4,4.33,1.91,3.25,3.8,1.85,3.35,3.85,1.95,3.67,3.93,1.88,3.6,3.9,1.9,3.5,4.1,1.96,3.67,4.33,1.89,3.44,3.83,2,1.8,2.03,1.83,2.1,1.87,1.99,1.78,-0.5,1.88,1.93,1.95,1.93,1.95,2.04,1.9,1.93
Main,England,Conference,2019/2020,03/08/2019,15:00,Chorley,Bromley,0,0,D,0,0,D,B Speedie,1,0,0,0,2.5,3.4,2.62,2.45,3.25,2.65,2.4,3.2,2.7,2.49,3.63,2.76,2.5,3.3,2.75,2.55,3.3,2.75,2.55,3.63,2.8,2.44,3.33,2.69,2,1.8,1.96,1.85,2.02,1.88,1.97,1.8,0,1.77,2.02,1.81,2.02,1.88,2.06,1.81,2.01,2.4,3.4,2.75,2.45,3.25,2.65,2.4,3.25,2.65,2.45,3.75,2.74,2.5,3.4,2.7,2.5,3.5,2.7,2.51,3.75,2.8,2.41,3.42,2.67,1.8,2,1.86,2,1.91,2.03,1.84,1.94,0,1.8,2,1.83,2.05,1.88,2.06,1.82,2.01
Main,England,Conference,2019/2020,03/08/2019,15:00,Dag and Red,Woking,0,2,A,0,1,A,E Swallow,1,0,0,0,1.9,3.5,3.75,1.95,3.4,3.5,1.9,3.2,3.8,1.98,3.43,4.13,2,3.4,3.7,1.95,3.4,3.9,2.06,3.5,4.13,1.96,3.33,3.71,2.15,1.66,2.15,1.69,2.21,1.75,2.1,1.7,-0.5,1.98,1.83,1.95,1.88,2.03,1.88,1.97,1.84,2.05,3.4,3.4,2.05,3.3,3.3,2.05,3.15,3.35,2.15,3.31,3.66,2.2,3.25,3.3,2.2,3.25,3.4,2.24,3.4,3.66,2.11,3.23,3.37,2.15,1.66,2.2,1.7,2.24,1.73,2.14,1.68,-0.25,1.85,1.95,1.84,2.04,1.93,2.05,1.83,1.99
Main,England,Conference,2019/2020,03/08/2019,15:00,Eastleigh,Notts County,1,0,H,1,0,H,C Brook,0,0,0,2,2.45,3.25,2.8,2.5,3.25,2.65,2.45,3.05,2.75,2.66,3.09,2.94,2.55,3.1,2.88,2.55,3.2,2.8,2.66,3.3,2.94,2.5,3.13,2.76,2.2,1.65,2.26,1.63,2.31,1.68,2.2,1.64,0,1.8,2,1.81,2.01,1.87,2.05,1.82,2,2.3,3.3,3.1,2.35,3.2,2.85,2.35,3.05,2.85,2.5,3.25,3.01,2.4,3.25,2.9,2.45,3.25,2.9,2.5,3.34,3.1,2.38,3.17,2.9,2.1,1.7,2.15,1.74,2.18,1.76,2.11,1.69,-0.25,2.05,1.75,2.14,1.76,2.14,1.82,2.07,1.76
Main,England,Conference,2019/2020,03/08/2019,15:00,Ebbsfleet,Halifax,1,4,A,1,1,D,M Russell,2,2,1,0,2,3.3,3.8,2,3.25,3.6,2,3.1,3.7,2.03,3.19,4.3,2.05,3.2,3.75,2.05,3.25,3.8,2.08,3.3,4.3,2,3.18,3.79,2.25,1.61,2.3,1.61,2.35,1.66,2.25,1.61,-0.25,1.75,2.05,1.69,2.18,1.8,2.21,1.73,2.11,1.75,3.5,4.5,1.8,3.4,4.2,1.8,3.3,4.3,1.81,3.69,4.58,1.8,3.5,4.4,1.8,3.5,4.6,1.87,3.69,4.65,1.8,3.46,4.27,2.1,1.7,2.14,1.74,2.21,1.75,2.13,1.68,-0.5,1.8,2,1.81,2.07,1.87,2.07,1.82,2
Main,England,Conference,2019/2020,03/08/2019,15:00,Harrogate,Solihull,2,2,D,0,1,A,A Miller,2,1,0,0,2.37,3.2,2.75,2.25,3.25,2.95,2.35,3.15,2.8,2.48,3.31,2.99,2.45,3.25,2.88,2.5,3.3,2.8,2.5,3.4,2.99,2.38,3.25,2.83,2,1.8,2,1.81,2.04,1.86,1.98,1.8,-0.25,2.08,1.73,2.1,1.75,2.16,1.82,2.08,1.75,2.5,3.2,2.62,2.4,3.25,2.7,2.5,3.15,2.6,2.69,3.31,2.73,2.6,3.3,2.62,2.63,3.3,2.63,2.69,3.4,2.73,2.54,3.24,2.63,2,1.8,2.02,1.84,2.04,1.86,1.98,1.8,0,1.9,1.9,1.93,1.95,1.94,1.97,1.89,1.94
Main,England,Conference,2019/2020,03/08/2019,15:00,Hartlepool,Sutton,1,3,A,1,2,A,S Copeland,1,1,0,0,2.1,3.3,3.4,2.2,3.2,3.1,2.05,3.1,3.45,2.09,3.38,3.76,2.1,3.3,3.5,2.1,3.25,3.6,2.2,3.38,3.76,2.08,3.23,3.43,2.25,1.61,2.25,1.63,2.33,1.67,2.24,1.62,-0.25,1.83,1.98,1.77,2.07,1.88,2.07,1.81,2.01,2.05,3.3,3.6,2.05,3.2,3.4,2.05,3.2,3.4,2.08,3.45,3.71,2.05,3.3,3.6,2.1,3.3,3.5,2.13,3.45,3.71,2.05,3.29,3.48,2.07,1.72,2.08,1.79,2.15,1.79,2.07,1.72,-0.25,1.8,2,1.79,2.1,1.85,2.11,1.8,2.03
