country_type,Country,League,Season,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,PSH,PSD,PSA,WHH,WHD,WHA,VCH,VCD,VCA,MaxH,MaxD,MaxA,AvgH,AvgD,AvgA,B365>2.5,B365<2.5,P>2.5,P<2.5,Max>2.5,Max<2.5,Avg>2.5,Avg<2.5,AHh,B365AHH,B365AHA,PAHH,PAHA,MaxAHH,MaxAHA,AvgAHH,AvgAHA,B365CH,B365CD,B365CA,BWCH,BWCD,BWCA,IWCH,IWCD,IWCA,PSCH,PSCD,PSCA,WHCH,WHCD,WHCA,VCCH,VCCD,VCCA,MaxCH,MaxCD,MaxCA,AvgCH,AvgCD,AvgCA,B365C>2.5,B365C<2.5,PC>2.5,PC<2.5,MaxC>2.5,MaxC<2.5,AvgC>2.5,AvgC<2.5,AHCh,B365CAHH,B365CAHA,PCAHH,PCAHA,MaxCAHH,MaxCAHA,AvgCAHH,AvgCAHA
Main,France,Le Championnat,2019/2020,09/08/2019,19:45,Monaco,Lyon,0,3,A,0,2,A,7,13,1,3,10,17,2,5,2,2,1,0,3,3.3,2.37,2.85,3.3,2.4,2.9,3.35,2.45,2.95,3.57,2.43,2.8,3.5,2.4,2.9,3.4,2.5,3,3.6,2.52,2.89,3.4,2.43,1.9,1.9,1.91,1.99,1.97,1.99,1.9,1.9,0,2.07,1.72,2.16,1.78,2.17,1.82,2.1,1.77,3.5,3.4,2.05,3.3,3.5,2.15,3.4,3.55,2.1,3.37,3.65,2.19,3.2,3.4,2.2,3.5,3.6,2.1,3.5,3.66,2.36,3.33,3.51,2.15,1.8,2,1.83,2.07,1.9,2.15,1.81,2.01,0.25,2.04,1.86,2.01,1.9,2.06,2.01,2.01,1.87
Main,France,Le Championnat,2019/2020,10/08/2019,16:30,Marseille,Reims,0,2,A,0,0,D,10,8,2,5,18,8,5,3,1,0,0,0,1.66,3.5,6,1.62,3.6,5.75,1.65,3.75,5.6,1.65,3.82,6.06,1.63,3.6,5.8,1.65,3.8,6,1.71,3.85,6.4,1.65,3.71,5.67,2,1.8,2.06,1.84,2.14,1.84,2.07,1.76,-0.75,1.87,2.03,1.87,2.05,1.89,2.08,1.86,2.02,1.66,3.4,6,1.67,3.6,5.75,1.73,3.6,5.1,1.78,3.39,5.7,1.7,3.5,5.25,1.73,3.6,5.5,1.8,3.7,6.15,1.73,3.49,5.45,2.1,1.72,2.16,1.76,2.24,1.81,2.08,1.75,-0.75,2.02,1.88,2.05,1.87,2.06,1.97,1.98,1.89
Main,France,Le Championnat,2019/2020,10/08/2019,19:00,Angers,Bordeaux,3,1,H,3,1,H,14,8,4,3,11,15,4,3,2,1,0,0,2.37,3.1,3.2,2.35,3.1,3.1,2.35,3.1,3.3,2.34,3.29,3.35,2.35,3.1,3.2,2.4,3.13,3.3,2.47,3.29,3.37,2.35,3.14,3.24,2.5,1.53,2.47,1.6,2.52,1.6,2.42,1.56,-0.25,2.02,1.88,2.01,1.91,2.05,1.91,2,1.87,2.05,3.2,3.8,2.05,3.2,4,2.05,3.1,4.1,2.1,3.24,4.08,2,3.2,4,2.1,3.13,4.1,2.14,3.3,4.2,2.08,3.16,3.96,2.5,1.53,2.67,1.52,2.72,1.56,2.59,1.49,-0.25,1.75,2.05,1.79,2.15,1.8,2.17,1.77,2.11
Main,France,Le Championnat,2019/2020,10/08/2019,19:00,Brest,Toulouse,1,1,D,1,0,H,16,13,5,3,11,14,4,7,0,0,0,0,2.37,3.2,3.1,2.4,3.1,3,2.4,3.2,3.1,2.42,3.33,3.17,2.3,3.3,3.1,2.38,3.25,3.2,2.46,3.42,3.22,2.38,3.23,3.09,2.1,1.72,2.17,1.76,2.2,1.76,2.14,1.71,-0.25,2.05,1.85,2.07,1.85,2.1,1.88,2.04,1.83,2,3.3,3.8,2.05,3.4,3.75,2.05,3.35,3.75,2.1,3.44,3.81,2.05,3.3,3.75,2.1,3.3,3.8,2.16,3.48,3.92,2.08,3.35,3.69,2,1.8,2.09,1.81,2.13,1.83,2.06,1.77,-0.5,2.1,1.8,2.1,1.83,2.12,1.83,2.08,1.79
Main,France,Le Championnat,2019/2020,10/08/2019,19:00,Dijon,St Etienne,1,2,A,1,2,A,15,12,7,4,17,10,12,5,0,2,0,0,4,3.2,2.05,3.6,3.25,2.05,3.55,3.35,2.1,3.69,3.46,2.13,3.6,3.3,2.1,3.7,3.4,2.1,4,3.46,2.2,3.57,3.34,2.11,2,1.8,2.08,1.82,2.16,1.83,2.05,1.77,0.25,2.07,1.83,2.09,1.83,2.11,1.86,2.05,1.82,3.8,3.4,2,3.7,3.4,2.05,3.75,3.4,2.05,3.84,3.47,2.08,3.75,3.4,2,3.9,3.4,2.05,3.92,3.48,2.14,3.73,3.37,2.06,2,1.8,2.04,1.85,2.1,1.92,2.03,1.79,0.25,2.07,1.72,2.14,1.79,2.16,1.82,2.09,1.79
Main,France,Le Championnat,2019/2020,10/08/2019,19:00,Montpellier,Rennes,0,1,A,0,1,A,24,9,5,3,20,19,7,1,3,3,0,1,2.25,3.1,3.5,2.3,3.1,3.2,2.3,3.15,3.35,2.32,3.28,3.4,2.25,3.2,3.25,2.3,3.2,3.4,2.37,3.35,3.5,2.3,3.18,3.3,2.3,1.61,2.34,1.66,2.35,1.67,2.28,1.62,-0.25,1.97,1.93,1.99,1.93,2.01,1.94,1.97,1.9,2.2,3.2,3.5,2.2,3.2,3.5,2.25,3.2,3.4,2.29,3.26,3.49,2.2,3.2,3.4,2.25,3.2,3.5,2.36,3.37,3.88,2.25,3.2,3.42,2.3,1.61,2.34,1.66,2.35,1.7,2.28,1.63,-0.25,1.94,1.96,1.96,1.96,1.97,2.02,1.93,1.94
Main,France,Le Championnat,2019/2020,10/08/2019,19:00,Nice,Amiens,2,1,H,1,0,H,17,8,6,2,10,8,7,3,3,4,0,1,2.2,3,3.8,2.1,3,3.8,2.2,2.9,3.95,2.2,3.01,4.11,2.15,3,3.9,2.15,3.1,3.9,2.24,3.1,4.15,2.18,2.98,3.87,2.5,1.53,2.71,1.51,2.71,1.54,2.56,1.5,-0.25,1.86,2.04,1.85,2.07,1.88,2.07,1.84,2.02,2.25,3,3.75,2.3,2.95,3.6,2.3,2.95,3.55,2.36,3.01,3.64,2.3,2.9,3.6,2.3,3,3.6,2.38,3.08,3.8,2.31,2.96,3.57,2.75,1.44,2.78,1.48,2.78,1.56,2.62,1.48,-0.25,1.98,1.92,1.99,1.93,2,1.95,1.96,1.91
Main,France,Le Championnat,2019/2020,11/08/2019,14:00,Lille,Nantes,2,1,H,1,0,H,13,13,3,3,13,17,5,11,2,4,0,0,1.95,3.3,4.2,1.85,3.25,4.5,1.95,3.25,4.35,1.99,3.14,4.84,1.91,3.2,4.5,1.95,3.3,4.5,2,3.33,4.85,1.95,3.19,4.43,2.37,1.57,2.46,1.6,2.46,1.63,2.35,1.58,-0.5,1.98,1.92,2.01,1.91,2.01,1.97,1.96,1.9,2.3,3.1,3.25,2.35,3,3.4,2.35,3.05,3.3,2.42,3.03,3.5,2.3,3,3.4,2.3,3.13,3.5,2.42,3.2,3.64,2.32,3.04,3.45,2.37,1.57,2.45,1.6,2.46,1.66,2.37,1.58,-0.25,1.98,1.92,2.04,1.88,2.04,2.06,1.96,1.91
Main,France,Le Championnat,2019/2020,11/08/2019,16:00,Strasbourg,Metz,1,1,D,1,0,H,13,7,2,3,6,12,3,4,0,1,0,0,2.05,3.2,4,2.05,3.25,3.6,2.05,3.25,3.95,2.07,3.3,4.11,2,3.2,4,2.05,3.3,4,2.1,3.37,4.15,2.05,3.23,3.9,2.3,1.61,2.35,1.65,2.37,1.66,2.29,1.61,-0.5,2.07,1.83,2.07,1.85,2.09,1.85,2.05,1.82,2.2,3.1,3.5,2.15,3,3.9,2.2,3.05,3.8,2.33,3,3.74,2.2,3,3.7,2.3,3,3.7,2.35,3.26,3.92,2.22,3,3.75,2.75,1.44,2.87,1.46,2.87,1.52,2.67,1.46,-0.25,1.94,1.96,1.97,1.95,1.97,2.04,1.91,1.97
Main,France,Le Championnat,2019/2020,11/08/2019,20:00,Paris SG,Nimes,3,0,H,1,0,H,12,5,5,1,17,8,2,6,2,0,0,0,1.1,10,23,1.1,9,21,1.11,9.3,22,1.1,10.78,28.65,1.08,10,26,1.1,10,31,1.13,11.25,31,1.1,9.77,23.32,1.3,3.5,1.33,3.43,1.34,3.6,1.31,3.4,-2.5,1.95,1.95,1.93,1.98,1.97,1.99,1.92,1.94,1.07,11,29,1.07,12,31,1.1,9.1,28,1.08,12.97,31.01,1.06,12,29,1.06,12,51,1.1,13.75,51,1.08,11.68,28.91,1.22,4.33,1.24,4.22,1.25,4.5,1.22,4.13,-3,2.02,1.77,2.08,1.82,2.3,1.95,2.09,1.79
Main,France,Le Championnat,2019/2020,16/08/2019,19:45,Lyon,Angers,6,0,H,3,0,H,11,10,9,3,7,14,2,5,1,2,0,0,1.5,4.33,6,1.48,4.5,6.5,1.45,4.4,7.2,1.51,4.51,6.74,1.47,4.33,6.5,1.5,4.5,6.5,1.55,4.65,7.2,1.5,4.45,6.4,1.57,2.37,1.63,2.4,1.65,2.43,1.6,2.34,-1,1.86,2.07,1.82,2.1,1.86,2.13,1.81,2.06,1.45,4.33,7,1.48,4.5,6.5,1.45,4.4,7.2,1.52,4.62,6.6,1.44,4.33,7.5,1.5,4.5,6.5,1.53,4.75,7.5,1.48,4.49,6.63,1.66,2.2,1.65,2.36,1.7,2.43,1.62,2.3,-1,1.87,2.06,1.86,2.06,1.88,2.16,1.8,2.07
Main,France,Le Championnat,2019/2020,17/08/2019,16:30,Nantes,Marseille,0,0,D,0,0,D,13,9,6,2,16,18,7,3,0,3,0,0,2.6,3.1,2.9,2.6,3.2,2.8,2.55,3.2,2.85,2.62,3.16,3.01,2.5,3.2,2.88,2.55,3.2,3,2.75,3.34,3.01,2.58,3.16,2.88,2.1,1.72,2.16,1.76,2.2,1.79,2.11,1.73,0,1.84,2.09,1.82,2.1,1.85,2.1,1.82,2.06,2.4,3.1,3.1,2.55,3.2,2.9,2.45,3.2,3,2.53,3.19,3.12,2.4,3.2,3,2.55,3.2,3,2.59,3.32,3.17,2.48,3.16,3.03,2.2,1.66,2.26,1.7,2.35,1.76,2.18,1.69,-0.25,2.14,1.8,2.15,1.79,2.2,1.81,2.12,1.77
Main,France,Le Championnat,2019/2020,17/08/2019,19:00,Amiens,Lille,1,0,H,0,0,D,8,10,3,1,13,7,3,10,1,1,0,1,3.3,3.1,2.37,3.4,3.1,2.3,3.3,3.05,2.35,3.3,3.15,2.44,3.2,3.1,2.35,3.3,3,2.45,3.45,3.24,2.45,3.25,3.09,2.38,2.5,1.53,2.58,1.55,2.62,1.56,2.52,1.52,0.25,1.86,2.07,1.85,2.07,1.87,2.08,1.83,2.04,3.3,3.1,2.37,3.4,3.1,2.3,3.25,3.05,2.4,3.3,3.15,2.44,3.2,3.1,2.35,3.3,3.13,2.4,3.45,3.28,2.47,3.29,3.11,2.36,2.37,1.57,2.48,1.59,2.57,1.61,2.43,1.55,0.25,1.88,2.05,1.85,2.07,1.93,2.11,1.85,2.02
Main,France,Le Championnat,2019/2020,17/08/2019,19:00,Bordeaux,Montpellier,1,1,D,0,1,A,13,10,4,4,15,21,3,5,2,1,0,0,2.62,3,3,2.8,2.9,2.85,2.7,3,2.9,2.79,3,2.96,2.62,3,2.88,2.7,3,3,2.85,3.16,3.03,2.7,2.98,2.9,2.5,1.53,2.62,1.54,2.63,1.56,2.52,1.52,0,1.88,2.05,1.9,2.02,1.9,2.07,1.86,2.02,2.55,3,3.1,2.65,2.95,3,2.6,2.95,3,2.65,2.99,3.15,2.55,2.9,3.1,2.6,3,3.1,2.73,3.05,3.25,2.61,2.94,3.06,2.62,1.5,2.74,1.5,2.74,1.54,2.59,1.49,0,1.78,2.16,1.79,2.14,1.85,2.21,1.78,2.11
Main,France,Le Championnat,2019/2020,17/08/2019,19:00,Metz,Monaco,3,0,H,1,0,H,18,12,10,6,16,7,6,4,1,2,0,1,3,3.2,2.5,3.1,3.1,2.5,2.95,3.05,2.55,3.05,3.15,2.6,3,3.1,2.5,3,3.1,2.6,3.1,3.24,2.69,2.98,3.1,2.55,2.37,1.57,2.5,1.58,2.5,1.62,2.4,1.56,0,2.11,1.82,2.12,1.81,2.13,1.83,2.08,1.8,3.1,3.2,2.4,3,3.2,2.5,3.1,3.05,2.5,3.19,3.19,2.48,3,3.2,2.4,3.13,3.13,2.5,3.19,3.28,2.6,3.07,3.13,2.47,2.37,1.57,2.44,1.61,2.47,1.64,2.37,1.58,0.25,1.81,2.13,1.81,2.11,1.81,2.16,1.78,2.11
Main,France,Le Championnat,2019/2020,17/08/2019,19:00,Nimes,Nice,1,2,A,1,2,A,18,6,5,3,21,12,2,1,5,5,2,1,2.1,3.3,3.6,2.2,3.25,3.5,2.15,3.3,3.5,2.15,3.45,3.63,2.1,3.4,3.4,2.2,3.3,3.5,2.3,3.54,3.63,2.16,3.33,3.46,2,1.8,2.11,1.8,2.14,1.81,2.07,1.76,-0.25,1.9,2.03,1.85,2.06,1.9,2.06,1.87,2.01,2,3.4,3.8,2.1,3.3,3.7,2.1,3.35,3.65,2.11,3.45,3.76,2.05,3.3,3.75,2.05,3.4,3.9,2.15,3.5,3.9,2.08,3.36,3.7,2.1,1.72,2.18,1.75,2.24,1.78,2.13,1.72,-0.25,1.81,2.13,1.81,2.11,1.83,2.13,1.8,2.09
Main,France,Le Championnat,2019/2020,17/08/2019,19:00,Toulouse,Dijon,1,0,H,0,0,D,18,18,7,5,11,5,7,5,2,0,0,0,2.1,3.1,4,1.95,3.5,3.9,2,3.45,3.85,2.02,3.49,4.03,1.95,3.4,3.9,2,3.4,4.1,2.1,3.58,4.1,2,3.42,3.87,2.1,1.72,2.19,1.74,2.19,1.81,2.09,1.75,-0.5,2.05,1.88,2.02,1.89,2.06,1.89,2,1.86,1.9,3.5,4.1,2,3.3,3.9,2,3.4,3.9,2.02,3.5,4.04,1.95,3.4,4,2,3.4,4,2.07,3.58,4.2,1.99,3.42,3.93,2,1.8,2.08,1.82,2.24,1.83,2.05,1.78,-0.5,2.02,1.91,2.02,1.9,2.02,1.92,1.99,1.88
Main,France,Le Championnat,2019/2020,18/08/2019,14:00,St Etienne,Brest,1,1,D,0,1,A,19,9,5,4,16,8,4,2,1,2,0,0,1.61,3.75,6,1.62,4,5.5,1.65,3.95,5.3,1.63,3.99,5.94,1.6,3.8,5.8,1.62,4,5.75,1.67,4,6,1.63,3.9,5.49,1.8,2,1.83,2.06,1.87,2.06,1.81,2,-1,2.05,1.75,2.17,1.77,2.18,1.81,2.13,1.76,1.6,3.8,6,1.6,4,5.75,1.67,3.9,5.2,1.64,3.91,6.05,1.57,3.75,6.5,1.62,4,5.75,1.67,4.05,6.8,1.62,3.89,5.73,1.8,2,1.83,2.06,1.86,2.22,1.8,2.02,-1,2.05,1.75,2.16,1.78,2.2,1.92,2.1,1.78
Main,France,Le Championnat,2019/2020,18/08/2019,16:00,Reims,Strasbourg,0,0,D,0,0,D,11,4,1,1,18,19,2,4,2,0,0,0,2,3.2,4,2,3.3,4,2.05,3.15,4,2.07,3.21,4.25,2,3.25,4,2.05,3.2,4.2,2.09,3.4,4.25,2.04,3.22,4,2.5,1.53,2.47,1.6,2.5,1.6,2.42,1.56,-0.5,2.08,1.85,2.07,1.85,2.08,1.85,2.04,1.82,2.1,3.2,3.8,2.05,3.2,4,2.05,3.15,4,2.12,3.09,4.25,2.05,3.1,4,2.05,3.2,4.2,2.15,3.28,4.25,2.08,3.14,4.02,2.5,1.53,2.7,1.51,2.7,1.6,2.46,1.54,-0.5,2.11,1.82,2.12,1.8,2.12,1.84,2.08,1.8
Main,France,Le Championnat,2019/2020,18/08/2019,20:00,Rennes,Paris SG,2,1,H,1,1,D,11,9,4,2,15,19,4,7,1,5,0,0,8,5.25,1.36,7.75,5.75,1.34,7.5,5.4,1.36,7.57,5.61,1.38,9,5.25,1.32,9.5,5.5,1.33,9.5,5.75,1.42,7.83,5.35,1.36,1.44,2.75,999,999,1.45,3,1.42,2.8,1.5,1.94,1.99,1.92,2,1.94,2,1.89,1.97,8,5.25,1.36,8,5.5,1.35,8,5.3,1.35,8.36,5.28,1.39,8.5,5,1.35,9,5.2,1.36,9,5.5,1.4,7.92,5.22,1.37,1.53,2.5,1.6,2.46,1.6,2.75,1.52,2.51,1.5,1.84,2.09,1.83,2.09,1.95,2.09,1.83,2.03
Main,France,Le Championnat,2019/2020,24/08/2019,19:00,Amiens,Nantes,1,2,A,0,0,D,3,25,1,6,9,13,2,5,1,1,1,0,2.6,3.1,2.8,2.7,2.95,2.75,2.7,2.95,2.95,2.77,3.09,2.91,2.7,3,2.8,2.75,3,2.9,2.85,3.12,2.95,2.7,3,2.86,2.62,1.5,2.77,1.49,2.77,1.51,2.66,1.47,0,1.89,2.04,1.91,2.01,1.92,2.04,1.88,2,2.75,3.1,2.7,2.7,3,2.85,2.85,2.95,2.8,2.87,3.01,2.87,2.75,3,2.75,2.88,3,2.8,2.92,3.18,2.99,2.8,2.98,2.79,2.62,1.5,2.79,1.48,2.88,1.5,2.7,1.46,0,1.98,1.95,1.96,1.96,1.99,1.96,1.94,1.93
