country_type,Country,League,Season,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,PSH,PSD,PSA,WHH,WHD,WHA,VCH,VCD,VCA,MaxH,MaxD,MaxA,AvgH,AvgD,AvgA,B365>2.5,B365<2.5,P>2.5,P<2.5,Max>2.5,Max<2.5,Avg>2.5,Avg<2.5,AHh,B365AHH,B365AHA,PAHH,PAHA,MaxAHH,MaxAHA,AvgAHH,AvgAHA,B365CH,B365CD,B365CA,BWCH,BWCD,BWCA,IWCH,IWCD,IWCA,PSCH,PSCD,PSCA,WHCH,WHCD,WHCA,VCCH,VCCD,VCCA,MaxCH,MaxCD,MaxCA,AvgCH,AvgCD,AvgCA,B365C>2.5,B365C<2.5,PC>2.5,PC<2.5,MaxC>2.5,MaxC<2.5,AvgC>2.5,AvgC<2.5,AHCh,B365CAHH,B365CAHA,PCAHH,PCAHA,MaxCAHH,MaxCAHA,AvgCAHH,AvgCAHA
Main,Portugal,Liga I,2019/2020,09/08/2019,20:30,Portimonense,Belenenses,0,0,D,0,0,D,16,8,5,2,19,15,5,5,1,1,0,0,1.9,3.2,4.33,2,3.3,3.75,2,3.3,3.65,2.02,3.54,3.91,1.95,3.5,3.8,1.95,3.5,3.9,2.05,3.58,4.33,1.98,3.38,3.78,2,1.8,2.04,1.84,2.1,1.87,2.03,1.77,-0.5,2,1.9,2.02,1.88,2.04,1.91,1.98,1.85,1.61,3.75,5.5,1.62,3.7,5.5,1.6,3.7,5.2,1.67,3.86,5.56,1.62,3.8,5.5,1.65,3.8,5.5,1.67,4,6.1,1.63,3.8,5.3,1.95,1.85,1.97,1.91,2,1.95,1.92,1.87,-1,2.05,1.75,2.19,1.74,2.22,1.81,2.14,1.73
Main,Portugal,Liga I,2019/2020,10/08/2019,16:30,Santa Clara,Famalicao,0,2,A,0,1,A,22,14,6,6,14,22,14,6,0,3,0,0,2,3.3,3.75,2,3.3,3.7,2,3.15,3.75,2.08,3.23,4.09,2.05,3.2,3.9,2.05,3.3,3.9,2.11,3.34,4.09,2.04,3.18,3.77,2.2,1.65,2.34,1.64,2.35,1.68,2.24,1.63,-0.5,2.08,1.82,2.08,1.82,2.11,1.86,2.05,1.8,1.85,3.4,4.33,1.9,3.25,4.25,1.93,3.2,4.05,1.95,3.4,4.42,1.95,3.3,4.2,1.93,3.4,4.2,2.02,3.42,4.42,1.93,3.29,4.13,2.2,1.65,2.26,1.68,2.31,1.7,2.22,1.64,-0.5,1.95,1.95,1.95,1.95,1.97,1.98,1.93,1.91
Main,Portugal,Liga I,2019/2020,10/08/2019,19:00,Gil Vicente,Porto,2,1,H,0,0,D,13,16,7,5,15,19,4,6,3,3,0,0,11,5,1.28,10,5.75,1.25,8.8,5.1,1.3,10.58,5.41,1.31,11,5.25,1.29,11,5.25,1.3,12,5.75,1.31,9.88,5.21,1.29,1.66,2.15,1.71,2.22,1.72,2.31,1.65,2.19,1.5,1.97,1.93,1.95,1.94,1.99,1.95,1.93,1.9,11,5,1.28,10,5.25,1.28,9.5,5.1,1.28,10.58,5.7,1.29,11,5.25,1.29,10.5,5.4,1.3,13,5.7,1.32,10.02,5.27,1.29,1.7,2.1,1.72,2.2,1.75,2.22,1.69,2.14,1.5,1.93,1.97,1.93,1.97,1.96,2,1.91,1.93
Main,Portugal,Liga I,2019/2020,10/08/2019,21:30,Benfica,Pacos Ferreira,5,0,H,2,0,H,15,7,7,0,15,11,10,3,0,4,0,1,1.16,7.5,13,1.12,8.25,17.5,1.12,7.3,18.5,1.12,9.61,22.87,1.11,8.5,23,1.11,9.5,23,1.16,9.61,23,1.12,8.26,18.66,1.44,2.7,1.44,2.89,1.48,2.89,1.44,2.71,-2.25,1.94,1.96,1.93,1.97,1.96,1.99,1.91,1.92,1.2,6.5,13,1.15,7,17.5,1.22,5.8,11.5,1.19,6.64,18.93,1.18,6.5,17,1.22,6.5,13,1.23,7.6,23,1.19,6.57,14.93,1.57,2.35,1.58,2.47,1.58,2.72,1.51,2.51,-1.75,1.89,2.01,1.88,2.02,1.91,2.19,1.83,2.03
Main,Portugal,Liga I,2019/2020,11/08/2019,16:00,Boavista,Aves,2,1,H,1,1,D,8,17,3,2,24,20,3,8,5,3,0,0,2.2,3.2,3.5,2.2,3.1,3.4,2.25,3,3.35,2.35,3.09,3.51,2.3,3.1,3.3,2.3,3.1,3.4,2.35,3.2,3.51,2.26,3.04,3.37,2.5,1.5,2.61,1.53,2.66,1.54,2.52,1.5,-0.25,1.98,1.92,1.99,1.91,2,1.95,1.94,1.89,1.95,3.25,4,2,3.1,4,1.97,3.05,4.05,2.08,3.19,4.14,2.05,3.1,4,2,3.2,4.3,2.11,3.26,4.3,2.01,3.13,4.02,2.5,1.5,2.59,1.53,2.64,1.56,2.49,1.52,-0.5,2.04,1.86,2.08,1.82,2.09,1.9,2.02,1.82
Main,Portugal,Liga I,2019/2020,11/08/2019,18:30,Maritimo,Sp Lisbon,1,1,D,1,1,D,10,17,3,2,14,14,2,8,4,4,0,0,5.5,3.75,1.61,5.25,3.8,1.62,4.85,3.65,1.67,5.4,3.86,1.68,5.25,3.7,1.67,5.2,3.8,1.7,5.5,3.86,1.73,5.07,3.68,1.67,2,1.8,2.01,1.87,2.03,1.9,1.96,1.83,0.75,1.98,1.92,1.97,1.93,2.01,1.94,1.95,1.89,5.75,3.75,1.6,5,3.75,1.65,5.2,3.7,1.63,5.53,4.03,1.64,5.25,3.9,1.63,5.5,3.8,1.65,5.75,4.03,1.7,5.23,3.8,1.64,2,1.8,1.99,1.89,2.03,1.91,1.96,1.84,0.75,2.04,1.86,2.05,1.85,2.06,1.88,2.01,1.84
Main,Portugal,Liga I,2019/2020,11/08/2019,21:00,Sp Braga,Moreirense,3,1,H,1,0,H,19,11,9,4,14,11,7,4,2,2,0,0,1.4,4.2,9,1.44,4.2,7.5,1.42,4.25,7.1,1.43,4.7,7.87,1.42,4.5,7.5,1.44,4.33,8,1.46,4.7,9,1.43,4.3,7.43,1.95,1.85,1.95,1.93,1.98,1.97,1.9,1.89,-1.25,2.07,1.83,2.08,1.82,2.12,1.84,2.05,1.8,1.4,4.2,10,1.44,4.2,7.5,1.41,4.25,7.2,1.43,4.52,8.39,1.4,4.5,8,1.4,4.4,8.5,1.46,4.55,10,1.42,4.35,7.83,1.9,1.9,1.93,1.95,1.97,1.99,1.89,1.91,-1,1.67,2.15,1.74,2.19,1.8,2.25,1.72,2.16
Main,Portugal,Liga I,2019/2020,12/08/2019,20:15,Setubal,Tondela,0,0,D,0,0,D,7,7,4,2,23,18,3,3,7,2,1,0,2.2,3.2,3.4,2.15,3.1,3.2,2.1,3.1,3.5,2.18,3.23,3.76,2.15,3.2,3.5,2.2,3.2,3.6,2.25,3.28,3.76,2.15,3.15,3.46,2.3,1.6,2.4,1.61,2.4,1.65,2.31,1.59,-0.25,1.88,2.02,1.85,2.04,1.9,2.04,1.84,1.99,2,3.25,4,1.95,3.1,3.8,1.97,3.15,4,2.02,3.32,4.22,1.95,3.2,4.2,2,3.2,4.2,2.08,3.32,4.4,1.99,3.2,4.01,2.4,1.53,2.5,1.57,2.53,1.6,2.42,1.55,-0.5,2.02,1.88,2.02,1.88,2.05,1.92,1.99,1.85
Main,Portugal,Liga I,2019/2020,16/08/2019,20:30,Famalicao,Rio Ave,1,0,H,0,0,D,16,13,4,1,16,16,5,2,3,5,0,1,3,3.2,2.4,2.75,3.2,2.55,2.75,3.4,2.4,2.88,3.58,2.45,2.6,3.25,2.7,2.8,3.5,2.45,3,3.6,2.55,2.78,3.43,2.43,1.75,2.05,1.77,2.12,1.82,2.13,1.77,2.05,0.25,1.7,2.1,1.79,2.13,1.8,2.2,1.75,2.12,3,3.5,2.25,2.75,3.3,2.45,2.75,3.4,2.35,2.88,3.61,2.43,2.6,3.25,2.7,2.8,3.5,2.45,3,3.64,2.48,2.8,3.48,2.39,1.7,2.1,1.71,2.21,1.78,2.21,1.72,2.12,0.25,1.77,2.02,1.79,2.11,1.83,2.14,1.77,2.09
Main,Portugal,Liga I,2019/2020,17/08/2019,16:30,Moreirense,Gil Vicente,3,0,H,2,0,H,12,16,4,2,17,16,3,5,0,3,0,0,2.15,3.4,3.25,2.15,3.2,3.4,2.2,3.1,3.3,2.31,3.25,3.4,2.2,3.2,3.4,2.25,3.25,3.4,2.45,3.4,3.4,2.24,3.18,3.28,2.25,1.61,2.3,1.66,2.31,1.69,2.23,1.64,-0.25,1.95,1.95,1.98,1.92,1.98,1.98,1.93,1.92,2.1,3.4,3.4,2.15,3.2,3.4,2.15,3.1,3.45,2.22,3.28,3.56,2.2,3.2,3.4,2.15,3.25,3.6,2.3,3.4,3.65,2.18,3.21,3.41,2.25,1.61,2.3,1.66,2.33,1.68,2.23,1.64,-0.25,1.89,2.01,1.91,1.99,1.92,2.03,1.88,1.97
