country_type,Country,League,Season,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR
Main,Scotland,Division 1,1998/1999,04/08/98,Airdrie,Clydebank,0,0,D
Main,Scotland,Division 1,1998/1999,04/08/98,Falkirk,Ayr,1,0,H
Main,Scotland,Division 1,1998/1999,04/08/98,Morton,Hibernian,0,1,A
Main,Scotland,Division 1,1998/1999,04/08/98,Raith Rvs,Hamilton,0,2,A
Main,Scotland,Division 1,1998/1999,05/08/98,Stranraer,St Mirren,0,1,A
Main,Scotland,Division 1,1998/1999,15/08/98,Ayr,Morton,1,0,H
Main,Scotland,Division 1,1998/1999,15/08/98,Clydebank,Falkirk,0,1,A
Main,Scotland,Division 1,1998/1999,15/08/98,Hamilton,Airdrie,1,1,D
Main,Scotland,Division 1,1998/1999,15/08/98,Hibernian,Stranraer,1,2,A
Main,Scotland,Division 1,1998/1999,15/08/98,St Mirren,Raith Rvs,2,1,H
Main,Scotland,Division 1,1998/1999,22/08/98,Airdrie,St Mirren,1,0,H
Main,Scotland,Division 1,1998/1999,22/08/98,Falkirk,Hibernian,1,1,D
Main,Scotland,Division 1,1998/1999,22/08/98,Morton,Hamilton,1,2,A
Main,Scotland,Division 1,1998/1999,22/08/98,Raith Rvs,Ayr,0,0,D
Main,Scotland,Division 1,1998/1999,22/08/98,Stranraer,Clydebank,0,2,A
Main,Scotland,Division 1,1998/1999,29/08/98,Airdrie,Raith Rvs,0,1,A
Main,Scotland,Division 1,1998/1999,29/08/98,Falkirk,Stranraer,1,0,H
Main,Scotland,Division 1,1998/1999,29/08/98,Hamilton,St Mirren,0,0,D
Main,Scotland,Division 1,1998/1999,29/08/98,Hibernian,Ayr,4,2,H
Main,Scotland,Division 1,1998/1999,29/08/98,Morton,Clydebank,2,2,D
Main,Scotland,Division 1,1998/1999,05/09/98,Ayr,Hamilton,2,3,A
Main,Scotland,Division 1,1998/1999,05/09/98,Clydebank,Hibernian,2,2,D
Main,Scotland,Division 1,1998/1999,05/09/98,Raith Rvs,Morton,0,0,D
Main,Scotland,Division 1,1998/1999,05/09/98,St Mirren,Falkirk,0,2,A
Main,Scotland,Division 1,1998/1999,05/09/98,Stranraer,Airdrie,1,2,A
